nom,categorie,prix_eur,volume_L,degre_pct,ratio,image,url
"Bleu de Mer Rouge, Bernard Magrez, 2024 - Pays d'Oc IGP - Rouge - 75 cl",vins-rouges,5.49,0.75,13.5,54.22,https://media.e.leclerc/3760114001504_1,https://www.e.leclerc/pro/bleu-de-mer-rouge-bernard-magrez-2024-pays-d-oc-igp-rouge-75-cl
"Laurent Brotte Grande réserve, 2022 - Gigondas AOP - Rouge - 75 cl",vins-rouges,17.5,0.75,,,https://fgellaobb.filerobot.com/3217661024031_1,https://www.e.leclerc/pro/laurent-brotte-grande-reserve-2022-gigondas-aop-rouge-75-cl
"Gueules de Saint Mont, 2022 - Côtes de Saint-Mont AOP - Rouge - 75 cl",vins-rouges,7.45,0.75,14.5,68.51,https://media.e.leclerc/3270046012245_1,https://www.e.leclerc/pro/gueules-de-saint-mont-2022-cotes-de-saint-mont-aop-rouge-75-cl
"Château Courac Eole, 2023 - Côtes du Rhône Villages Laudun AOP - Rouge - 75 cl",vins-rouges,7.2,0.75,,,https://media.e.leclerc/3760062941013_1,https://www.e.leclerc/pro/chateau-courac-eole-2023-cotes-du-rhone-villages-laudun-aop-rouge-75-cl
"Château La Voulte Gasparet Cuvée Romain Pauc, 2022 - Corbières-Boutenac AOP - Rouge - 75 cl",vins-rouges,19.14,0.75,,,https://media.e.leclerc/3489720112137_1,https://www.e.leclerc/pro/chateau-la-voulte-gasparet-cuvee-romain-pauc-2022-corbieres-boutenac-aop-rouge-75-cl
"Antonin Rodet, 2023 - Givry AOP - Rouge - 75 cl",vins-rouges,17.16,0.75,,,https://media.e.leclerc/3271360027199_1,https://www.e.leclerc/pro/antonin-rodet-2023-givry-aop-rouge-75-cl
"Gérard Bertrand Les Bois des Volcans, 2022 - Languedoc AOP - Rouge - 75 cl",vins-rouges,7.9,0.75,,,https://media.e.leclerc/3514123252569_1,https://www.e.leclerc/pro/gerard-bertrand-les-bois-des-volcans-2022-languedoc-aop-rouge-75-cl
"Domaine de la Morandière Vieilles Vignes, 2024 - Chinon AOP - Rouge - 75 cl",vins-rouges,7.6,0.75,,,https://media.e.leclerc/3512675108754_1,https://www.e.leclerc/pro/domaine-de-la-morandiere-vieilles-vignes-2024-chinon-aop-rouge-75-cl
"Laurent Brotte BIO, 2023 - Côtes du Rhône AOP - Rouge - 75 cl",vins-rouges,7.95,0.75,13.5,78.52,https://fgellaobb.filerobot.com/3217661024000_1,https://www.e.leclerc/pro/laurent-brotte-bio-2023-cotes-du-rhone-aop-rouge-75-cl
"Château Tour de Bellegarde, 2022 - Bordeaux Supérieur AOP - Rouge - 75 cl",vins-rouges,6.76,0.75,,,https://media.e.leclerc/3760315580242_1,https://www.e.leclerc/pro/chateau-tour-de-bellegarde-2022-bordeaux-superieur-aop-rouge-75-cl
"Domaine de Champ de Cour, 2022 - Moulin à Vent AOP - Rouge - 75 cl",vins-rouges,9.95,0.75,,,https://media.e.leclerc/3264380070511_1,https://www.e.leclerc/pro/domaine-de-champ-de-cour-2022-moulin-a-vent-aop-rouge-75-cl
"Domaine de Pratavone Tradition, 2023 - Ajaccio AOP - Rouge - 75 cl",vins-rouges,9.5,0.75,,,https://media.e.leclerc/3498140000016_1,https://www.e.leclerc/pro/domaine-de-pratavone-tradition-2023-ajaccio-aop-rouge-75-cl
"Chateau du Grand Saint Père, 2023 - Costières de Nîmes AOP - Rouge - 75 cl",vins-rouges,3.15,0.75,13.5,31.11,https://media.e.leclerc/3760093640305_1,https://www.e.leclerc/pro/chateau-du-grand-saint-pere-2023-costieres-de-nimes-aop-rouge-75-cl
"Domaine Richaud, 2023 - Cairanne AOP - Rouge - 75 cl",vins-rouges,26.95,0.75,13.5,266.17,https://media.e.leclerc/2030009531289_1,https://www.e.leclerc/pro/domaine-richaud-2023-cairanne-aop-rouge-75-cl
"Domaine Tessellae Vieilles Vignes, 2023 - Côtes Catalanes IGP - Rouge - 75 cl",vins-rouges,5.57,0.75,14.5,51.22,https://fgellaobb.filerobot.com/3760031472647_1,https://www.e.leclerc/pro/domaine-tessellae-vieilles-vignes-2023-cotes-catalanes-igp-rouge-75-cl
"Bouchard Aîné & Fils, 2022 - Nuits Saint Georges AOP - Rouge - 75 cl",vins-rouges,35.75,0.75,,,https://media.e.leclerc/3340180000863_1,https://www.e.leclerc/pro/bouchard-aine-fils-2022-nuits-saint-georges-aop-rouge-75-cl
"ELEGANCE DE SCHISTE, 2023 - Saint-Chinian AOP - Rouge - 75 cl",vins-rouges,5.95,0.75,14.5,54.71,https://media.e.leclerc/3379431690232_1,https://www.e.leclerc/pro/elegance-de-schiste-2023-saint-chinian-aop-rouge-75-cl
"La Demoiselle de Sociando, 2020 - Haut-Médoc AOP - Rouge - 75 cl",vins-rouges,17.9,0.75,,,https://media.e.leclerc/3428430000914_1,https://www.e.leclerc/pro/la-demoiselle-de-sociando-2020-haut-medoc-aop-rouge-75-cl
"Jean Claude Mas Les Schistes, 2024 - Pays d'Oc IGP - Rouge - 75 cl",vins-rouges,,0.75,13.5,,https://fgellaobb.filerobot.com/3760040427386_1,https://www.e.leclerc/pro/jean-claude-mas-les-schistes-2024-pays-d-oc-igp-rouge-75-cl
"Domaine Desprat Saint Verny Vignoble Volcanique ""Le Pinot Noir"", 2024 - Vin de France - Rouge - 75 cl",vins-rouges,7.75,0.75,,,https://fgellaobb.filerobot.com/3340525143002_1,https://www.e.leclerc/pro/domaine-desprat-saint-verny-vignoble-volcanique-le-pinot-noir-2024-vin-de-france-rouge-75-cl
"Maison Jean-Marc Ajoux, 2024 - Coteaux Bourguignons AOP - Rouge - 75 cl",vins-rouges,4.9,0.75,12.5,52.27,https://media.e.leclerc/3395940561191_1,https://www.e.leclerc/pro/maison-jean-marc-ajoux-2024-coteaux-bourguignons-aop-rouge-75-cl
"Château Paul Mas Clos Savignac, 2024 - Languedoc Grés de Montpellier AOP - Rouge - 75 cl",vins-rouges,8.9,0.75,14.5,81.84,https://media.e.leclerc/3760040425436_1,https://www.e.leclerc/pro/chateau-paul-mas-clos-savignac-2024-languedoc-gres-de-montpellier-aop-rouge-75-cl
"Marcel Lapierre, Vieilles Vignes, 2023 - Morgon AOP - Rouge - 75 cl",vins-rouges,24.5,0.75,12.5,261.33,https://media.e.leclerc/3292141662231_1,https://www.e.leclerc/pro/marcel-lapierre-vieilles-vignes-2023-morgon-aop-rouge-75-cl
"Le Coq - Vellas, 2024 - Pays d'Oc IGP - Rouge - 75 cl",vins-rouges,,0.75,14.5,,https://media.e.leclerc/3701086304309_1,https://www.e.leclerc/pro/le-coq-vellas-2024-pays-d-oc-igp-rouge-75-cl
"Arnaud aucoeur, 2024 - Morgon AOP - Rouge - 75 cl",vins-rouges,8.5,0.75,,,https://media.e.leclerc/3760014284984_1,https://www.e.leclerc/pro/arnaud-aucoeur-2024-morgon-aop-rouge-75-cl
"Château des Fontanelles, 2022 - Cahors AOP - Rouge - 75 cl",vins-rouges,3.9,0.75,13.5,38.52,https://media.e.leclerc/3231230230531_1,https://www.e.leclerc/pro/chateau-des-fontanelles-2022-cahors-aop-rouge-75-cl
"Château Moulin de Reysson, 2019 - Haut-Médoc AOP - Rouge - 75 cl",vins-rouges,8.04,0.75,,,https://media.e.leclerc/3258691552545_1,https://www.e.leclerc/pro/chateau-moulin-de-reysson-2019-haut-medoc-aop-rouge-75-cl
